norm_name;archive_id;archive_code;archive_name;keep_ids;keep_names;rule;status
COLOR 1657;3305;LTB1657;COLOR 1657;3553;COLOR 1657;conservar WC, archivar legacy;ARCHIVE
COLOR 1659;3306;LTB1659;COLOR 1659;3552;COLOR 1659;conservar WC, archivar legacy;ARCHIVE
COLOR 1670;3307;LTB1670;COLOR 1670;3551;COLOR 1670;conservar WC, archivar legacy;ARCHIVE
COLOR 1703;3309;LTB1703;COLOR 1703;3549;COLOR 1703;conservar WC, archivar legacy;ARCHIVE
COLOR 1726;3314;LTB1726;COLOR 1726;3545;COLOR 1726;conservar WC, archivar legacy;ARCHIVE
COLOR 1751;3316;LTB1751;COLOR 1751;3543;COLOR 1751;conservar WC, archivar legacy;ARCHIVE
COLOR 1771;3321;LTB1771;COLOR 1771;3537;COLOR 1771;conservar WC, archivar legacy;ARCHIVE
COLOR 1784;3325;LTB1784;COLOR 1784;3533;COLOR 1784;conservar WC, archivar legacy;ARCHIVE
COLOR 1800 (NEGRO);3109;LTB1800;COLOR 1800 (NEGRO);3500;COLOR 1800 (NEGRO);conservar WC, archivar legacy;ARCHIVE
COLOR 1801 (BLANCO);3111;LTB1801;COLOR 1801 (BLANCO);3503;COLOR 1801 (BLANCO);conservar WC, archivar legacy;ARCHIVE
CUCHILLA MOVIL DK 265;3431;0265 008772;CUCHILLA MOVIL DK 265;3421;CUCHILLA MOVIL DK 265;sin WC: conservar más antiguo;ARCHIVE
ENTRETELA BASE DE ARRANCAR, 105 GRAMOS;2500;BASE-105WL;ENTRETELA BASE DE ARRANCAR, 105 GRAMOS. (1m X 100m);3508;ENTRETELA BASE DE ARRANCAR, 105 GRAMOS;conservar WC, archivar legacy;ARCHIVE
LEAF SPRING DK;3432;0268 140070;LEAF SPRING DK;3423;LEAF SPRING DK;sin WC: conservar más antiguo;ARCHIVE
"MIGHTYHOOP 5,5"" ECO";3157;ST-M0505-HA360;"MIGHTYHOOP 5,5"" ECO";3514;"MIGHTYHOOP 5,5"" ECO";conservar WC, archivar legacy;ARCHIVE
RESORTE DK;3430;S080 818711;RESORTE DK ;3422;RESORTE DK;sin WC: conservar más antiguo;ARCHIVE
